Qty;Value;Device;Parts;Description
22;;2,54/1,0;+3V3_OUT, +5V_OUT, +12V_OUT, -12V_OUT, ATX_+3V3, ATX_+5V, ATX_+12V, ATX_-12V, ATX_GND, DVM1, DVM2, GND_1, GND_2, GND_3, GND_4, GND_DVM, GND_OUT1, GND_OUT2, GND_OUT3, OUT1, OUT2, OUT3;THROUGH-HOLE PAD
1;;LEDCHIP-LED0805;LED2;LED
1;;ML10;SV1;HARTING
1;;ML14;SV2;HARTING
1;;TOPLED-2--;LED1;Multi TOPLED® (two color)
3;100R;R-EU_R0805;R7, R15, R20;RESISTOR, European symbol
12;100k;R-EU_R0805;R2, R6, R10, R14, R18, R19, R25, R26, R28, R30, R35, R37;RESISTOR, European symbol
5;100n;C-EUC0805;C1, C4, C8, C10, C11;CAPACITOR, European symbol
1;100u;CPOL-EUD;C9;POLARIZED CAPACITOR, European symbol
1;10R;R-EU_R0805;R34;RESISTOR, European symbol
1;150k;R-EU_R0805;R29;RESISTOR, European symbol
1;16MHz;CRYSTALHC49S;Q8;CRYSTAL
1;1R;R-EU_0411/15;R22;RESISTOR, European symbol
5;1k;R-EU_R0805;R3, R4, R11, R12, R23;RESISTOR, European symbol
1;22-23-2021;22-23-2021;X2;".100 (2.54mm) Center Header - 2 Pin"""
3;220R;R-EU_R0805;R31, R32, R33;RESISTOR, European symbol
2;22p;C-EUC0805;C6, C7;CAPACITOR, European symbol
1;240k;R-EU_R0805;R27;RESISTOR, European symbol
7;24k;R-EU_R0805;R1, R5, R9, R13, R17, R36, R38;RESISTOR, European symbol
1;2k4;R-EU_R0805;R24;RESISTOR, European symbol
3;39p;C-EUC0805;C2, C3, C5;CAPACITOR, European symbol
2;47R;R-EU_0411/15;R8, R16;RESISTOR, European symbol
1;4R7;R-EU_0411/15;R21;RESISTOR, European symbol
11;4u7;C-EUC0805;C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22;CAPACITOR, European symbol
9;5V;ZENER-DIODESOD80C;D1, D2, D3, D4, D5, D6, D7, D8, D9;Z-Diode
2;BC140-10;BC140-10;Q1, Q3;NPN Transistor
2;BC160;BC160;Q2, Q4;PNP Transistror
1;BC557;BC557;Q7;PNP TRANSISTOR
1;BD239;BD239TO220BV;Q5;NPN Transistor
1;BD240;BD240TO220BV;Q6;PNP Transistor
1;DUAL-PORT-USB-REC;DUAL-PORT-USB-REC;U$2;Dual USB Receptacle, Horizontal.
1;FH12-45S-0.5SH;FH12-45S-0.5SH;X1;0.5mm Pitch Connectors For FPC/FFC
2;FK209;FK209;KK1, KK2;HEATSINK manufacturer Fischer/distributor Buerklin
1;FT232RL;FT232RL;IC6;Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf
1;MCP4921-E/SN;MCP4921-E/SN;IC3;Microchip MCP4921
1;MCP4922-E/SL;MCP4922-E/SL;IC2;Microchip MCP4922
1;MEGA16-P;MEGA16-P;IC1;MICROCONTROLLER
1;PN61729-S;PN61729-S;X3;BERG USB connector
4;SKK-510;SKK-510;U$3, U$4, U$5, U$6;Kühlkörper Fischer SKK-510
2;TL074D;TL074D;IC4, IC5;OP AMP
